,post_id,comments_text
155,2192307.0,"Ну, да
Давно не виделись голубки🤣🤣🤣"
156,2192307.0,Тьфу петорасня
157,2192307.0,Поцелуй на продолжение войны
158,2192307.0,🤮
159,2192307.0,Позорище
160,2192307.0,Биомусор
161,2192307.0,"Судя по всему, Макрону понравилось! У Зельки, огромный уже опыт, удовлетворять многих приходится! Так пусть задумаются может, о разводе, со своими женами?!😱😜😁😁😁"
162,2192307.0,"Уйди, уйди прАтивный, ведь Родина в опасности! (с) Зеленский. А если это любовь? Чистая, светлая... И это мы ещё закрытую часть не видели😊Вот это любовь!!! Я даже прослезилася!!!"
163,2192307.0,"Да зеленский жил у киркорова пол года, и это было давно. Значит давно он уже дырявый!"
164,2192307.0,
165,2192307.0,Какое унижение…! Бедная Украина! Так её ещё никто не унижал!
166,2192307.0,"ОЧЕНЬ-ОЧЕНЬ НЕСМЕШНОЙ АНЕКДОТ...
Автор: Сетина Эльвира 16.06.22 года.

Итальянец, немец, хохол и француз
Собрались и решают проблему:
Мы ребята с вами попали в конфуз!
Как решать будем эту дилемму?!

Лишь хозяин дома вышел во двор,
Гости вмиг меж собой склубились,
Повели за спиной его свой разговор,
И по-тихому договорились:

Если ход конём, то мы все умрём!
И на месте стоять нам нельзя...
Может мы останемся лишь втроём:
Отдадим на закланье ... ферзя?!

Мы ж с него зашли, точно с козырей,
Мы же думали все, что он ""ого-го""!
Как всех убеждал: ""Я же и еврей!""
А теперь попали мы все из-за него!!!

Только мы ему не раскроем план,
Пусть не ведает, пусть старается,
Дело сделает это польский пан,
Пусть он этим всем занимается!

Анекдот?! Да только вот несмешно...
Наш украинец ещё долго бы жил,
Если б понимал - предавать грешно!
Если б с русским братом дружил!НЕ СМЕЙТЕ ДАЖЕ ПРИБЛИЖАТЬСЯ!
Автор: Сетина Эльвира 24.07.22 года.

Скучковались враги, льнут и жмутся,
Да на лицах своих брови сдвинули...
Вот сейчас как все вместе возьмутся
И придумают план, чтоб мы сгинули!

Ведь готовились сколько?! Грезили 
Взять реванш и смести нас с Земли...
Замахнулись по нам, да как врезали!
Но только вновь победить не смогли!

И теперь сошлись новый план найти,
Брешут, лыбятся истерически...
А только нет побед на таком пути!
Вот так сложилось уж исторически!

Сколько раз придут - столько огребут!
Только задолбали уж приходить!!!
Мы теперь так свой укрепим редут,
Будет страшно даже к нам подходить!"
167,2192307.0,и ширинка на заднице зелебобы растегнутая...
168,2192307.0,Два петуха 🤣
169,2192307.0,
170,2192307.0,
171,2192307.0,брежнев . чё та вспомнился )))
172,2192307.0,"Ой, ее-еей! 😱😳"
173,2192307.0,Питухи
174,2192307.0,Два дебила — это сила ! 🥰😍
175,2192307.0,"Ну могут себе позволить,в Киеве гулять, ультиматум ставить....."
176,2192307.0,Пидарье наркоманское
177,2192307.0,"Потом, по попе пошлепает,,,по дружески😂"
178,2192307.0,"Украину имеют все страны гейропы и гей союз. Украина с самой позорной и унизительной репутацией. Зеля лёг и попу подставил, так ещё и под наркотой.
Есть бедные страны, но не позорные как 🇺🇦."
179,2192307.0,
180,2192307.0,
181,2192307.0,"А если это любофф ? 
- Кака така любофф  ?! 
Не зря штаны передом назад надел ..."
182,2192307.0,Геронтофил лягушатник переключился на мальчиков)
183,2192307.0,Всё повторяется.
184,2192307.0,"Макрон: радуйся пока, потом придут русские, они не будут ласковые, будет БДСМ"
185,2192307.0,"Так они вштыренные, спалили их"
186,2192307.0,Панин потом устроит ему
187,2192307.0,"Да они же оба нарики, так что неудивительно это."
188,2192307.0,П..дерасты
189,2192307.0,
190,2192307.0,А в попу?
191,2192307.0,Две жертвы аборта!
192,2192275.0,"Просто он хотел проснуться с ними в одной постельке, как любимая жена, пусть и общая🤣"
193,2192275.0,Ведь опять нарушат украинцы перемирие. И опять будут умирать русские люди.
194,2192275.0,
195,2192275.0,"Чем меньше страна,тем больше понтов.Европа может только лаять."
196,2192275.0,
197,2192275.0,"А мы специально дали им им погостить в Киеве? А мы точно на своей стороне, или шо почём я не пойму?"
198,2192275.0,Тревога в Киеве была обявлена в 4-24 утра 05.05.2025.
199,2192275.0,"И ещё одна жертв аборта, английская!"
200,2192261.0,Не важно каким он был.....Но День Победы отмечать без Сталина....Нельзя......
201,2192261.0,Спасибо и самый низкий поклон Вам в благодарность Иосиф Виссарионович!Вы Победитель и Спаситель России!!!
202,2192261.0,
203,2192261.0,
204,2192245.0,Вот это замечательно!
205,2192245.0,
206,2192245.0,
207,2192245.0,"Путин проводит СВО для обеспечения безопасности страны и всего населения, он просто делает свою работу. Это его работа, а не чья-то другая"
208,2192245.0,"Путин делает все возможное, чтобы обеспечить безопасность и стабильность России. СВО проводится для защиты людей от рук нацистов"
209,2192245.0,"Украина уже давно не имеет ни какого военного преимущества перед Россией, даже Западная техника им не поможет!"
210,2192233.0,
211,2192233.0,
212,2192216.0,"Несмогут они с этой иглы соскочить, так и будут рогом землю пахать, пока все не закончатся."
213,2192216.0,👏👏👏👏👏
214,2192188.0,Продолжим принуждение к миру!🤗
215,2192188.0,"Уже всё объявлено, переговоры в Стамбуле, учитывая не хотелки запада, а реалии. Вот пусть и выкручиваются теперь"
216,2192188.0,"Пойдет,ему главное с...тся от туда."
217,2192188.0,"Верховный знает, что делать
А эти фашисты пусть заявляют , что хотят
Их вяканье не имеет никакого значения"
218,2192188.0,"Почему бы и нет , смотря на каких условиях . Как будто автор сам воюет !"
219,2192188.0,Хитрая уловка- понедельник 12.05
220,2192188.0,Шабаш ведьмаков...
221,2192188.0,
222,2192188.0,Только полная капитуляция
223,2192188.0,"Конечно, не пойдёт, ибо 11.05.2025 - это воскресенье!!! 😜"
224,2192188.0,"К сожалению Путин клюнул,говорящая голова Песков уже взял под козырек..."
225,2192188.0,"Тремпель уже передает 100 ракет ""Пэтриот"" скакуасам,это в благодарность за добрую волю Путина..."
226,2192188.0,"Да кто Зелебобику мешает прекратить огонь? Пусть прекращает, нам-то что..."
227,2192188.0,
228,2192188.0,"Никаких перемирий , это будет перегруппировка нацистов."
229,2192188.0,Кучка единомышленников пидорасов
230,2192188.0,"""Наркоман доложил"". 
А его в войсках кто-нибудь слушать будет? Там своих наркоманов полно."
231,2192188.0,Боюсь что наступим на те же грабли в очередной раз 😡😡😡
232,2192188.0,"эти ищут причину, чтобы продолжать войну, а украинцев, у которых кастрюли на головах , им не жалко. А Америке, которая сподвигла украинцев на эту войну, тоже выгодно. Поэтому она и продолжает поставлять оружие. Но перед миром хочет показаться миротворцем. Лицемеры и шуты."
233,2192188.0,"Думаю что понедельник, это 12мая.Полная капитуляция однозначно. Мы Бандеру не добили, вот отпрыски и майданят."
234,2192188.0,
235,2192188.0,"Конечно, не пойдёт."
236,2192188.0,Понедельник 12е
237,2192188.0,Понедельник - 12-тое! А 11-тое - воскресенье. Сегодня.
238,2192188.0,Одного маленького орешника  на эту банду!
239,2192188.0,"По хорошему ещё ни одной цели толком не достигнуто 
1) нет денацификации 
2)нет разгрома ВСУ 
3) не освобождены территории России вошедшие в состав России 
4)верхушка и все оголтелые русофобы не то что уничтожены и изгнаны из власти Украины также продолжают свою деятельность"
240,2192188.0,
241,2192188.0,Минские 28.
242,2192188.0,"Европа активезировалась.США некогда,пропал интерес?"
